的;;16767
我;;13068
日;;11746
为;;11225
机;;10167
调;;9671
把;;9607
一;;9526
点;;9259
1;;9096
度;;8927
器;;7946
上;;7905
月;;7627
风;;7391
设;;7269
洗;;6927
食;;6862
材;;6629
空;;6628
到;;5875
改;;5825
加;;5744
2;;5677
人;;5580
下;;5573
式;;5508
成;;5421
帮;;5210
时;;4854
模;;4804
十;;4679
温;;4636
净;;4616
是;;4592
室;;4500
置;;4328
请;;4311
开;;4277
换;;4273
中;;4182
化;;4144
程;;4141
水;;4105
安;;4089
不;;4059
午;;3975
分;;3926
地;;3920
卧;;3909
么;;3782
衣;;3778
能;;3753
箱;;3732
高;;3709
冰;;3658
吧;;3622
烟;;3531
声;;3459
有;;3444
花;;3437
排;;3390
天;;3294
3;;3280
给;;3229
油;;3152
个;;3094
山;;3063
二;;3018
马;;3015
动;;2974
吗;;2970
什;;2910
春;;2888
4;;2852
5;;2839
作;;2782
行;;2779
些;;2778
扫;;2762
低;;2744
子;;2713
添;;2679
湿;;2666
主;;2621
客;;2566
哈;;2560
在;;2551
白;;2512
间;;2479
去;;2435
0;;2390
速;;2375
啊;;2334
钟;;2332
小;;2327
9;;2326
关;;2313
气;;2293
冷;;2285
要;;2265
江;;2249
了;;2224
呀;;2215
定;;2210
年;;2207
好;;2140
闹;;2132
变;;2124
切;;2123
麻;;2116
8;;2103
删;;2098
6;;2092
放;;2059
工;;2057
柜;;2047
清;;2018
厅;;2009
无;;2003
增;;2002
消;;1999
三;;1972
秋;;1963
李;;1958
可;;1942
烦;;1920
掉;;1875
夜;;1873
里;;1869
音;;1843
大;;1839
7;;1824
热;;1802
看;;1790
长;;1773
吸;;1756
歌;;1742
南;;1719
毒;;1717
快;;1716
以;;1704
自;;1697
几;;1680
期;;1669
来;;1666
雨;;1648
忙;;1639
更;;1635
提;;1616
用;;1585
五;;1583
新;;1579
制;;1569
明;;1569
星;;1569
电;;1565
首;;1536
阳;;1528
云;;1502
任;;1502
多;;1499
务;;1487
醒;;1461
西;;1456
想;;1449
送;;1405
名;;1394
除;;1385
启;;1384
最;;1362
四;;1362
烤;;1355
道;;1352
车;;1351
将;;1347
你;;1347
周;;1347
前;;1344
九;;1333
相;;1308
红;;1303
东;;1296
王;;1285
听;;1277
州;;1250
诗;;1244
黄;;1229
哪;;1227
之;;1220
生;;1219
柳;;1218
路;;1215
晚;;1207
态;;1201
打;;1193
头;;1180
今;;1180
何;;1173
状;;1171
半;;1166
后;;1161
和;;1153
楼;;1145
如;;1142
减;;1134
青;;1130
节;;1123
归;;1119
碗;;1118
酒;;1110
重;;1098
鱼;;1097
雪;;1096
金;;1093
思;;1091
家;;1083
外;;1080
早;;1075
曲;;1074
智;;1072
六;;1066
叫;;1060
香;;1047
少;;1042
八;;1042
冻;;1032
心;;1031
知;;1024
愁;;1022
寒;;1021
现;;1013
国;;1012
入;;998
出;;997
游;;997
诉;;991
君;;988
见;;980
告;;979
菜;;978
飞;;977
谁;;967
问;;964
别;;962
先;;962
城;;958
限;;956
查;;951
落;;950
海;;949
草;;940
会;;940
古;;934
七;;931
起;;927
整;;926
题;;920
乐;;906
玉;;904
情;;897
与;;897
份;;893
号;;888
力;;886
当;;881
晨;;878
流;;868
回;;864
北;;861
处;;856
千;;852
佚;;851
其;;850
建;;846
藏;;844
这;;841
门;;841
拿;;836
需;;835
强;;829
序;;829
两;;828
万;;816
夏;;808
满;;804
做;;800
功;;799
叶;;791
近;;789
望;;787
事;;780
梅;;769
梦;;765
令;;759
充;;750
候;;747
沙;;746
得;;742
怎;;738
修;;725
过;;722
波;;721
杜;;720
文;;719
优;;714
深;;711
豆;;708
河;;707
灯;;703
边;;702
兰;;699
苏;;694
张;;694
闭;;689
吹;;687
照;;684
级;;683
女;;680
还;;676
从;;676
怀;;669
远;;666
尽;;660
窗;;658
发;;650
滚;;648
儿;;644
书;;644
色;;637
干;;635
元;;635
未;;635
筒;;632
手;;631
光;;627
溪;;617
老;;614
湖;;613
美;;610
龙;;604
离;;601
平;;600
帘;;598
吴;;598
石;;594
公;;593
静;;588
台;;588
木;;584
架;;581
于;;581
此;;579
语;;570
树;;569
华;;567
者;;567
刻;;565
降;;563
对;;561
居;;549
床;;548
寄;;546
影;;542
杨;;540
桃;;539
独;;537
庭;;537
绿;;535
停;;533
故;;533
e;;532
登;;531
方;;530
园;;530
正;;528
甫;;526
桥;;525
凌;;519
朝;;518
林;;517
醉;;513
欲;;513
已;;512
竹;;511
补;;511
规;;506
向;;505
泪;;505
转;;503
咏;;500
枝;;495
太;;493
兮;;489
立;;488
乡;;486
燕;;482
仙;;482
