呗||155297
花||121948
么||62926
还||61865
借||55882
我||53808
的||46174
款||40081
不||39336
*||39335
用||38076
，||37667
怎||35420
了||31805
什||29748
是||27666
可||26562
能||26458
以||25928
额||25813
期||24821
有||23981
为||23435
蚂||22894
蚁||22889
付||21870
分||19389
没||17061
开||16938
支||16006
一||15546
个||15210
通||14159
度||13853
在||13553
钱||12532
宝||12426
提||11948
时||11425
到||11142
月||10070
号||10018
多||9982
收||9845
要||9165
账||9165
退||8751
前||8584
使||8550
后||8548
 ||8532
会||7793
手||7484
信||7257
卡||7173
费||7139
现||6512
这||6246
扣||6240
里||6110
商||6108
天||6030
示||5987
行||5732
关||5571
码||5511
逾||5511
动||5258
上||5248
显||5200
银||5187
如||5177
机||5149
已||5130
自||5029
余||4620
请||4547
何||4487
买||4396
候||4315
单||4259
下||4252
申||4240
想||3985
最||3962
次||3949
消||3936
就||3817
才||3774
少||3723
和||3719
经||3716
息||3578
样||3570
闭||3458
清||3457
换||3428
日||3408
都||3350
哪||3280
定||3270
过||3171
淘||3170
回||3141
但||3109
网||3092
影||3077
只||3062
利||3061
绑||3049
面||3007
临||3005
金||2969
家||2968
取||2903
续||2863
贷||2805
低||2758
之||2742
证||2700
几||2694
完||2687
响||2660
成||2595
户||2498
给||2470
看||2456
人||2391
查||2387
结||2377
把||2331
每||2280
改||2255
持||2236
限||2226
交||2113
出||2103
东||2101
恢||2097
需||2062
再||2030
来||2019
电||1918
那||1902
记||1862
话||1862
冻||1850
也||1844
久||1837
充||1820
另||1815
去||1814
西||1806
点||1768
刚||1747
升||1744
复||1712
说||1694
转||1693
功||1628
份||1619
。||1613
法||1613
两||1600
帮||1569
车||1568
全||1562
被||1558
购||1546
今||1534
录||1525
意||1517
直||1516
二||1513
无||1480
从||1469
更||1466
果||1466
设||1460
算||1429
当||1427
啥||1420
新||1417
店||1396
找||1371
别||1369
免||1358
好||1348
？||1340
除||1305
间||1289
货||1277
身||1268
密||1252
解||1251
未||1228
元||1211
验||1209
然||1183
高||1166
降||1164
否||1155
